Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.74     0.00      100     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned long>(char*, unsigned int, unsigned long)
  0.00     14.74     0.00      100     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00     14.74     0.00      100     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00     14.74     0.00      100     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     14.74     0.00      100     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     14.74     0.00      100     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00     14.74     0.00      100     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     14.74     0.00       72     0.00     0.00  Star* std::__niter_base<Star*>(Star*)
  0.00     14.74     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >::base() const
  0.00     14.74     0.00       48     0.00     0.00  std::vector<Star, std::allocator<Star> >::size() const
  0.00     14.74     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<Star>::_M_max_size() const
  0.00     14.74     0.00       26     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_get_Tp_allocator()
  0.00     14.74     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >::__normal_iterator(Star* const&)
  0.00     14.74     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<Star>::max_size() const
